"module","modSize","bkgrModSize","rank","enrichmentP","BonferoniP","nModGenesInTerm","fracOfBkgrModSize","fracOfBkgrTermSize","bkgrTermSize","termID","termOntology","termName","termDefinition"
"black",166,145,1,5.35865893011393e-05,0.981706315996871,15,0.103448275862069,0.161290322580645,93,"GO:0030546","MF","signaling receptor activator activity","The function of interacting (directly or indirectly) with receptors such that the proportion of receptors in the active form is increased."
"black",166,145,2,5.35865893011393e-05,0.981706315996871,15,0.103448275862069,0.161290322580645,93,"GO:0048018","MF","receptor ligand activity","The activity of a gene product that interacts with a receptor to effect a change in the activity of the receptor. Ligands may be produced by the same, or different, cell that expresses the receptor. Ligands may diffuse extracellularly from their point of origin to the receiving cell, or remain attached to an adjacent cell surface (e.g. Notch ligands)."
"black",166,145,3,8.87623761571909e-05,1,15,0.103448275862069,0.154639175257732,97,"GO:0030545","MF","receptor regulator activity","The function of interacting (directly or indirectly) with receptors such that the proportion of receptors in the active form is changed."
"black",166,145,4,0.00039679881679865,1,4,0.0275862068965517,0.5,8,"GO:0015872","BP","dopamine transport","The directed movement of dopamine into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Dopamine is a catecholamine neurotransmitter and a metabolic precursor of noradrenaline and adrenaline."
"black",166,145,5,0.000657497222825214,1,5,0.0344827586206897,0.333333333333333,15,"GO:0051028","BP","mRNA transport","The directed movement of mRNA, messenger ribonucleic acid, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"black",166,145,6,0.00080515683940237,1,6,0.0413793103448276,0.260869565217391,23,"GO:0050658","BP","RNA transport","The directed movement of RNA, ribonucleic acids, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"black",166,145,7,0.00102869832767533,1,6,0.0413793103448276,0.25,24,"GO:0006403","BP","RNA localization","A process in which RNA is transported to, or maintained in, a specific location."
"black",166,145,8,0.00161584608348019,1,6,0.0413793103448276,0.230769230769231,26,"GO:0015837","BP","amine transport","The directed movement of amines, including polyamines, organic compounds containing one or more amino groups, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"black",166,145,9,0.00242841413156204,1,6,0.0413793103448276,0.214285714285714,28,"GO:0008083","MF","growth factor activity","The function that stimulates a cell to grow or proliferate. Most growth factors have other actions besides the induction of cell growth or proliferation."
"black",166,145,10,0.00261726290456016,1,2,0.0137931034482759,1,2,"GO:0003223","BP","ventricular compact myocardium morphogenesis","The process in which the anatomical structures of the compact cardiac ventricle muscle are generated and organized."
"blue",428,425,1,5.20937613255687e-39,9.54357707484418e-35,137,0.322352941176471,0.43217665615142,317,"GO:0006955","BP","immune response","Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."
"blue",428,425,2,1.1803704483378e-38,2.16243866135485e-34,182,0.428235294117647,0.352713178294574,516,"GO:0002376","BP","immune system process","Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."
"blue",428,425,3,4.04927351632052e-31,7.4182690818992e-27,130,0.305882352941176,0.39039039039039,333,"GO:0006952","BP","defense response","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"blue",428,425,4,1.67258063729092e-29,3.06416772751697e-25,99,0.232941176470588,0.454128440366972,218,"GO:0098542","BP","defense response to other organism","Reactions triggered in response to the presence of another organism that act to protect the cell or organism from damage caused by that organism."
"blue",428,425,5,8.53936764028679e-28,1.56441215170054e-23,117,0.275294117647059,0.391304347826087,299,"GO:0043207","BP","response to external biotic stimulus","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."
"blue",428,425,6,8.53936764028679e-28,1.56441215170054e-23,117,0.275294117647059,0.391304347826087,299,"GO:0051707","BP","response to other organism","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."
"blue",428,425,7,3.62500429742064e-26,6.64100787287461e-22,110,0.258823529411765,0.392857142857143,280,"GO:0002682","BP","regulation of immune system process","Any process that modulates the frequency, rate, or extent of an immune system process."
"blue",428,425,8,1.83314098329838e-25,3.35831428140262e-21,79,0.185882352941176,0.481707317073171,164,"GO:0045087","BP","innate immune response","Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens."
"blue",428,425,9,2.77503759927209e-25,5.08386888186647e-21,87,0.204705882352941,0.448453608247423,194,"GO:0002684","BP","positive regulation of immune system process","Any process that activates or increases the frequency, rate, or extent of an immune system process."
"blue",428,425,10,7.28787298688463e-25,1.33513833119726e-20,95,0.223529411764706,0.418502202643172,227,"GO:0001775","BP","cell activation","A change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand."
"brown",396,386,1,8.03392977788974e-22,1.4718159353094e-17,48,0.124352331606218,0.578313253012048,83,"GO:0031012","CC","extracellular matrix","A structure lying external to one or more cells, which provides structural support, biochemical or biomechanical cues for cells or tissues."
"brown",396,386,2,5.12398607684408e-18,9.38714249277835e-14,31,0.0803108808290155,0.704545454545455,44,"GO:0005201","MF","extracellular matrix structural constituent","The action of a molecule that contributes to the structural integrity of the extracellular matrix."
"brown",396,386,3,1.61484444776215e-17,2.95839502830025e-13,125,0.323834196891192,0.27114967462039,461,"GO:0005576","CC","extracellular region","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"brown",396,386,4,2.75028188191785e-17,5.03851640767351e-13,35,0.0906735751295337,0.614035087719298,57,"GO:0062023","CC","collagen-containing extracellular matrix","An extracellular matrix consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that provides not only essential physical scaffolding for the cellular constituents but can also initiate crucial biochemical and biomechanical cues required for tissue morphogenesis, differentiation and homeostasis. The components are secreted by cells in the vicinity and form a sheet underlying or overlying cells such as endothelial and epithelial cells."
"brown",396,386,5,9.38412772435199e-14,1.71917219910128e-09,63,0.163212435233161,0.344262295081967,183,"GO:0001944","BP","vasculature development","The process whose specific outcome is the progression of the vasculature over time, from its formation to the mature structure. The vasculature is an interconnected tubular multi-tissue structure that contains fluid that is actively transported around the organism."
"brown",396,386,6,1.74580954150474e-13,3.19832308003669e-09,61,0.158031088082902,0.346590909090909,176,"GO:0001568","BP","blood vessel development","The process whose specific outcome is the progression of a blood vessel over time, from its formation to the mature structure. The blood vessel is the vasculature carrying blood."
"brown",396,386,7,2.0820119344966e-13,3.81424586399778e-09,34,0.0880829015544041,0.507462686567164,67,"GO:0030198","BP","extracellular matrix organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an extracellular matrix."
"brown",396,386,8,8.50491606162875e-13,1.55810062249039e-08,95,0.246113989637306,0.269121813031161,353,"GO:0005615","CC","extracellular space","That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."
"brown",396,386,9,8.06398926893219e-12,1.47732283406838e-07,75,0.194300518134715,0.28957528957529,259,"GO:0072359","BP","circulatory system development","The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."
"brown",396,386,10,1.35468832019343e-11,2.48178900259436e-07,52,0.134715025906736,0.346666666666667,150,"GO:0048514","BP","blood vessel morphogenesis","The process in which the anatomical structures of blood vessels are generated and organized. The blood vessel is the vasculature carrying blood."
"cyan",63,59,1,0.000331190418351125,1,16,0.271186440677966,0.0524590163934426,305,"GO:0033554","BP","cellular response to stress","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."
"cyan",63,59,2,0.000499274356665092,1,6,0.101694915254237,0.12,50,"GO:0031668","BP","cellular response to extracellular stimulus","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an extracellular stimulus."
"cyan",63,59,3,0.000526552340682758,1,4,0.0677966101694915,0.210526315789474,19,"GO:0032838","CC","plasma membrane bounded cell projection cytoplasm","All of the contents of a plasma membrane bounded cell projection, excluding the plasma membrane surrounding the projection."
"cyan",63,59,4,0.000610569828935994,1,8,0.135593220338983,0.0851063829787234,94,"GO:0006396","BP","RNA processing","Any process involved in the conversion of one or more primary RNA transcripts into one or more mature RNA molecules."
"cyan",63,59,5,0.000990696263761737,1,5,0.0847457627118644,0.131578947368421,38,"GO:0016236","BP","macroautophagy","The major inducible pathway for the general turnover of cytoplasmic constituents in eukaryotic cells, it is also responsible for the degradation of active cytoplasmic enzymes and organelles during nutrient starvation. Macroautophagy involves the formation of double-membrane-bounded autophagosomes which enclose the cytoplasmic constituent targeted for degradation in a membrane-bounded structure.  Autophagosomes then fuse with a lysosome (or vacuole) releasing single-membrane-bounded autophagic bodies that are then degraded within the lysosome (or vacuole). Some types of macroautophagy, e.g. pexophagy, mitophagy, involve selective targeting of the targets to be degraded."
"cyan",63,59,6,0.00126949921526391,1,2,0.0338983050847458,0.666666666666667,3,"GO:0072345","MF","NAADP-sensitive calcium-release channel activity","Enables the transmembrane transfer of a calcium ion by a channel that opens when nicotinic acid adenine dinucleotide phosphate (NAADP) has been bound by the channel complex or one of its constituent parts."
"cyan",63,59,7,0.00166551062137789,1,3,0.0508474576271186,0.25,12,"GO:0099023","CC","vesicle tethering complex","Any protein complex that plays a role in vesicle tethering."
"cyan",63,59,8,0.00168390352483898,1,18,0.305084745762712,0.0425531914893617,423,"GO:0009056","BP","catabolic process","The chemical reactions and pathways resulting in the breakdown of substances, including the breakdown of carbon compounds with the liberation of energy for use by the cell or organism."
"cyan",63,59,9,0.00190956659227447,1,10,0.169491525423729,0.0602409638554217,166,"GO:0019725","BP","cellular homeostasis","Any process involved in the maintenance of an internal steady state at the level of the cell."
"cyan",63,59,10,0.00204605267679351,1,7,0.11864406779661,0.0795454545454545,88,"GO:0006914","BP","autophagy","The cellular catabolic process in which cells digest parts of their own cytoplasm; allows for both recycling of macromolecular constituents under conditions of cellular stress and remodeling the intracellular structure for cell differentiation."
"green",272,252,1,6.95738080215244e-13,1.27459216295433e-08,146,0.579365079365079,0.140519730510106,1039,"GO:0005634","CC","nucleus","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"green",272,252,2,4.63572627774761e-08,0.000849265054083361,83,0.329365079365079,0.152293577981651,545,"GO:0016070","BP","RNA metabolic process","The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."
"green",272,252,3,5.72762762284946e-08,0.00104930138050602,69,0.273809523809524,0.163507109004739,422,"GO:0003676","MF","nucleic acid binding","Interacting selectively and non-covalently with any nucleic acid."
"green",272,252,4,8.98214193773728e-08,0.00164552840299347,88,0.349206349206349,0.146911519198664,599,"GO:0031981","CC","nuclear lumen","The volume enclosed by the nuclear inner membrane."
"green",272,252,5,1.44668552037403e-07,0.00265032787332523,78,0.30952380952381,0.15234375,512,"GO:0005654","CC","nucleoplasm","That part of the nuclear content other than the chromosomes or the nucleolus."
"green",272,252,6,2.77275390939703e-07,0.00507968516201535,98,0.388888888888889,0.138222849083216,709,"GO:0006139","BP","nucleobase-containing compound metabolic process","Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids."
"green",272,252,7,4.25694369283346e-07,0.0077987208452709,183,0.726190476190476,0.111449451887942,1642,"GO:0043231","CC","intracellular membrane-bounded organelle","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
"green",272,252,8,6.11601467675893e-07,0.0112045388878224,16,0.0634920634920635,0.355555555555556,45,"GO:0003729","MF","mRNA binding","Interacting selectively and non-covalently with messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns."
"green",272,252,9,1.28634296778602e-06,0.0235658031698399,104,0.412698412698413,0.131645569620253,790,"GO:0010467","BP","gene expression","The process in which a gene's sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form."
"green",272,252,10,1.78963148498847e-06,0.0327860488049888,98,0.388888888888889,0.133333333333333,735,"GO:0046483","BP","heterocycle metabolic process","The chemical reactions and pathways involving heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."
"greenyellow",93,82,1,1.31460123733943e-27,2.40834946680584e-23,27,0.329268292682927,0.45,60,"GO:0030016","CC","myofibril","The contractile element of skeletal and cardiac muscle; a long, highly organized bundle of actin, myosin, and other proteins that contracts by a sliding filament mechanism."
"greenyellow",93,82,2,6.89917630739634e-27,1.26392909951501e-22,27,0.329268292682927,0.428571428571429,63,"GO:0043292","CC","contractile fiber","Fibers, composed of actin, myosin, and associated proteins, found in cells of smooth or striated muscle."
"greenyellow",93,82,3,8.10141385084181e-25,1.48417901747422e-20,24,0.292682926829268,0.461538461538462,52,"GO:0030017","CC","sarcomere","The repeating unit of a myofibril in a muscle cell, composed of an array of overlapping thick and thin filaments between two adjacent Z discs."
"greenyellow",93,82,4,6.75255301521898e-18,1.23706771238812e-13,32,0.390243902439024,0.169312169312169,189,"GO:0099512","CC","supramolecular fiber","A polymer consisting of an indefinite number of protein or protein complex subunits that have polymerised to form a fiber-shaped structure."
"greenyellow",93,82,5,2.08537747562251e-15,3.82041153534045e-11,33,0.402439024390244,0.135245901639344,244,"GO:0099080","CC","supramolecular complex","A cellular component that consists of an indeterminate number of proteins or macromolecular complexes, organized into a regular, higher-order structure such as a polymer, sheet, network or a fiber."
"greenyellow",93,82,6,2.80274917079537e-15,5.13463648089713e-11,15,0.182926829268293,0.441176470588235,34,"GO:0031674","CC","I band","A region of a sarcomere that appears as a light band on each side of the Z disc, comprising a region of the sarcomere where thin (actin) filaments are not overlapped by thick (myosin) filaments; contains actin, troponin, and tropomyosin; each sarcomere includes half of an I band at each end."
"greenyellow",93,82,7,9.03420969754742e-15,1.65506721659069e-10,17,0.207317073170732,0.333333333333333,51,"GO:0055001","BP","muscle cell development","The process whose specific outcome is the progression of a muscle cell over time, from its formation to the mature structure. Muscle cell development does not include the steps involved in committing an unspecified cell to the muscle cell fate."
"greenyellow",93,82,8,9.54175940447228e-15,1.74805032289932e-10,26,0.317073170731707,0.174496644295302,149,"GO:0061061","BP","muscle structure development","The progression of a muscle structure over time, from its formation to its mature state. Muscle structures are contractile cells, tissues or organs that are found in multicellular organisms."
"greenyellow",93,82,9,4.15080724166965e-14,7.6042788667388e-10,16,0.195121951219512,0.340425531914894,47,"GO:0055002","BP","striated muscle cell development","The process whose specific outcome is the progression of a striated muscle cell over time, from its formation to the mature structure. Striated muscle cells contain fibers that are divided by transverse bands into striations, and cardiac and skeletal muscle are types of striated muscle."
"greenyellow",93,82,10,6.94788193035206e-13,1.2728519696405e-08,19,0.231707317073171,0.223529411764706,85,"GO:0003012","BP","muscle system process","A organ system process carried out at the level of a muscle. Muscle tissue is composed of contractile cells or fibers."
